municipality_code,total_poi_tourist,total_monuments_historiques,total_musees_galeries,total_plages,total_parcs_naturels,total_attractions_modernes,total_sites_randonnee,total_quartiers_culturels
07198,1,0,1,0,0,0,0,0
26183,1,0,1,0,0,0,0,0
47130,1,0,1,0,0,0,0,0
76258,1,0,1,0,0,0,0,0
85031,1,0,1,0,0,0,0,0
37211,1,0,1,0,0,0,0,0
57726,1,0,0,0,1,0,0,0
73120,1,0,0,0,1,0,0,0
16260,1,0,0,0,0,1,0,0
84081,1,0,0,0,0,1,0,0
78536,1,0,0,0,0,1,0,0
92076,1,0,0,0,0,1,0,0
33049,1,0,0,0,0,1,0,0
62050,1,0,0,0,1,0,0,0
78269,1,0,0,0,1,0,0,0
95282,1,0,0,0,1,0,0,0
05022,1,0,0,0,1,0,0,0
67397,1,0,0,0,0,1,0,0
15088,1,0,0,1,0,0,0,0
12296,1,0,0,1,0,0,0,0
66091,1,0,0,0,0,0,1,0
65058,1,0,0,0,0,0,1,0
71442,1,0,0,0,0,0,1,0
25519,1,0,0,0,0,0,1,0
36141,1,0,0,0,0,0,1,0
69236,1,0,0,0,0,0,1,0
68337,1,0,0,0,0,0,1,0
18067,1,0,0,0,0,0,1,0
60378,1,0,0,0,0,0,1,0
71470,1,0,0,0,0,0,1,0
76657,1,0,0,0,0,0,1,0
91315,1,0,0,0,0,0,1,0
59605,1,0,0,0,0,0,1,0
21571,1,0,0,0,0,0,1,0
21519,1,0,0,0,0,0,1,0
40132,1,0,0,0,0,0,1,0
07266,1,0,0,0,0,0,1,0
68062,1,0,0,0,0,0,1,0
50425,1,0,0,0,0,0,1,0
19008,1,0,0,0,0,0,1,0
44216,1,0,0,0,0,0,1,0
40243,1,0,0,0,0,1,0,0
57647,1,0,0,0,0,1,0,0
02052,1,0,0,0,0,0,0,0
39058,1,0,0,0,0,0,0,0
72070,1,0,0,0,0,0,0,0
77077,1,0,0,0,0,0,0,0
14041,1,0,0,0,0,0,0,0
88435,1,0,0,0,0,0,0,0
02803,1,0,0,0,0,0,0,0
14649,1,0,0,0,0,0,0,0
02338,1,0,0,0,0,0,0,0
79019,1,0,0,0,0,0,0,0
14087,1,0,0,0,0,0,0,0
95445,1,0,0,0,0,0,0,0
60103,1,0,0,0,0,0,0,0
37262,1,0,0,0,0,0,0,0
76614,1,0,0,0,0,0,0,0
52110,1,0,0,0,0,0,0,0
82171,1,0,0,0,0,0,0,0
57492,1,0,0,0,0,0,0,0
73327,1,0,0,0,0,0,0,0
36237,1,0,0,0,0,0,0,0
78220,1,0,0,0,0,0,0,0
49284,1,0,0,0,1,0,0,0
14232,1,0,0,0,1,0,0,0
78057,1,0,0,0,1,0,0,0
87148,1,0,1,0,0,0,0,0
84096,1,0,1,0,0,0,0,0
03066,1,0,1,0,0,0,0,0
25586,1,0,1,0,0,0,0,0
30010,1,0,1,0,0,0,0,0
10141,1,0,1,0,0,0,0,0
33317,1,0,1,0,0,0,0,0
06135,1,0,1,0,0,0,0,0
68091,1,0,1,0,0,0,0,0
11253,1,0,1,0,0,0,0,0
09289,1,0,1,0,0,0,0,0
24222,1,0,1,0,0,0,0,0
80827,1,0,1,0,0,0,0,0
55214,1,0,1,0,0,0,0,0
26160,1,0,1,0,0,0,0,0
09124,1,0,1,0,0,0,0,0
46334,1,0,1,0,0,0,0,0
25432,1,0,1,0,0,0,0,0
43124,1,0,0,0,1,0,0,0
70220,1,0,0,0,1,0,0,0
24132,1,0,0,0,0,0,0,0
61030,1,0,0,0,0,1,0,0
62696,1,0,0,0,0,1,0,0
24226,1,0,0,0,0,1,0,0
65267,1,0,0,0,0,1,0,0
09198,1,0,0,0,0,1,0,0
15221,1,0,0,0,0,1,0,0
07339,1,0,0,0,1,0,0,0
02178,1,0,0,0,1,0,0,0
07302,1,0,0,0,1,0,0,0
26086,1,0,0,0,1,0,0,0
11195,1,0,0,0,0,1,0,0
07259,1,0,0,1,0,0,0,0
33079,1,0,0,0,0,0,1,0
43092,1,0,0,0,0,0,1,0
19229,1,0,0,0,0,0,1,0
03046,1,0,0,0,0,0,1,0
57272,1,0,0,0,0,0,1,0
55010,1,0,0,0,0,0,1,0
71010,1,0,0,0,0,0,1,0
58226,1,0,0,0,0,0,1,0
47278,1,0,0,0,0,0,1,0
33102,1,0,0,0,0,0,1,0
17330,1,0,0,0,0,0,1,0
64470,1,0,0,0,0,0,1,0
44007,1,0,0,0,0,0,1,0
24321,1,0,0,0,0,0,1,0
63457,1,0,0,0,0,0,1,0
64549,1,0,0,0,0,0,1,0
84063,1,0,0,0,0,0,1,0
45068,1,0,0,0,0,0,1,0
64475,1,0,0,0,0,0,1,0
30142,1,0,0,0,0,0,1,0
10328,1,0,0,0,0,0,1,0
63252,1,0,0,0,0,0,1,0
65337,1,0,0,0,0,0,1,0
65435,1,0,0,0,0,0,1,0
70042,1,0,0,0,0,0,1,0
73077,1,0,0,0,0,0,1,0
82044,1,0,0,0,0,0,1,0
46170,1,0,0,0,0,1,0,0
47252,1,0,0,0,0,1,0,0
52039,1,0,0,0,0,0,0,0
77203,1,0,0,0,0,0,0,0
62791,1,0,0,0,0,0,0,0
82190,1,0,0,0,0,0,0,0
76526,1,0,0,0,0,0,0,0
60373,1,0,0,0,0,0,0,0
62158,1,0,0,0,0,0,0,0
29044,1,0,0,0,0,0,0,0
76635,1,0,0,0,0,0,0,0
55459,1,0,0,0,0,0,0,0
17171,1,0,0,0,0,0,0,0
03022,1,0,0,0,0,0,0,0
76459,1,0,0,0,0,0,0,0
22220,1,0,0,0,0,0,0,0
57706,1,0,0,0,0,0,0,0
58243,1,0,0,0,0,0,0,0
02279,1,0,0,0,0,0,0,0
39530,1,0,0,0,0,0,0,0
85077,1,0,0,0,1,0,0,0
48009,1,0,1,0,0,0,0,0
08385,1,0,1,0,0,0,0,0
45224,1,0,1,0,0,0,0,0
69183,1,0,1,0,0,0,0,0
60157,1,0,1,0,0,0,0,0
09030,1,0,1,0,0,0,0,0
68292,1,0,1,0,0,0,0,0
04115,1,0,1,0,0,0,0,0
65078,1,0,1,0,0,0,0,0
15168,1,0,1,0,0,0,0,0
59368,1,0,1,0,0,0,0,0
35187,1,0,0,0,0,1,0,0
78402,1,0,0,0,0,1,0,0
21347,1,0,0,0,0,1,0,0
67453,1,0,0,0,1,0,0,0
37107,1,0,0,0,1,0,0,0
69154,1,0,0,0,1,0,0,0
47059,1,0,0,0,0,1,0,0
26061,1,0,0,0,0,1,0,0
79254,1,0,0,0,0,1,0,0
59286,1,0,0,0,1,0,0,0
77370,1,0,0,1,0,0,0,0
84049,1,0,0,0,0,0,1,0
05116,1,0,0,0,0,0,1,0
74205,1,0,0,0,0,0,1,0
74031,1,0,0,0,0,0,1,0
57404,1,0,0,0,0,0,1,0
36144,1,0,0,0,0,0,1,0
02554,1,0,0,0,0,0,1,0
73105,1,0,0,0,0,0,1,0
81325,1,0,0,0,0,0,1,0
18093,1,0,0,0,0,0,1,0
52037,1,0,0,0,0,0,1,0
10052,1,0,0,0,0,0,1,0
74188,1,0,0,0,0,0,1,0
69163,1,0,0,0,0,0,1,0
64200,1,0,0,0,0,0,1,0
63255,1,0,0,0,0,0,1,0
37225,1,0,0,0,0,0,1,0
68238,1,0,0,0,0,0,1,0
19068,1,0,0,0,0,0,1,0
63233,1,0,0,0,0,0,1,0
31037,1,0,0,0,0,0,1,0
26271,1,0,0,0,0,0,1,0
32185,1,0,0,0,0,0,1,0
15256,1,0,0,0,0,0,1,0
68042,1,0,0,0,0,1,0,0
95250,1,0,0,0,0,1,0,0
58149,1,0,0,0,0,1,0,0
35072,1,0,0,0,0,1,0,0
62367,1,0,0,0,0,0,0,0
62199,1,0,0,0,0,0,0,0
61141,1,0,0,0,0,0,0,0
80317,1,0,0,0,0,0,0,0
57524,1,0,0,0,0,0,0,0
14448,1,0,0,0,0,0,0,0
52386,1,0,0,0,0,0,0,0
77323,1,0,0,0,0,0,0,0
60347,1,0,0,0,0,0,0,0
76371,1,0,0,0,0,0,0,0
55334,1,0,0,0,0,0,0,0
39583,1,0,0,0,0,0,0,0
57633,1,0,0,0,0,0,0,0
71036,1,0,0,0,0,0,0,0
55041,1,0,0,0,0,0,0,0
02495,1,0,0,0,0,0,0,0
60270,1,0,0,0,0,0,0,0
74065,1,0,0,0,0,0,0,0
54374,1,0,0,0,0,0,0,0
55049,1,0,0,0,0,0,0,0
51088,1,0,0,0,0,0,0,0
14710,1,0,0,0,0,0,0,0
94067,1,0,1,0,0,0,0,0
45085,1,0,1,0,0,0,0,0
2A198,1,0,1,0,0,0,0,0
01021,1,0,1,0,0,0,0,0
73237,1,0,1,0,0,0,0,0
28229,1,0,1,0,0,0,0,0
